node_id,node_label,equity_concern,component,org_id,org_name,prescribing_rate_recent,retail_accessibility_score,imd_score_weighted,months_zero,trend_slope
5,Widespread low provision (less deprived),Medium,main,W2U3Z,NHS NORTH WEST LONDON,7.685,0.331,23.635,0,0.0074
5,Widespread low provision (less deprived),Medium,main,07G,NHS THURROCK,6.789,0.35,21.032,0,-0.073
5,Widespread low provision (less deprived),Medium,main,02E,NHS WARRINGTON,6.224,0.232,16.835,1,-0.1318
5,Widespread low provision (less deprived),Medium,main,27D,NHS CHESHIRE,4.857,0.3,15.849,0,-0.1199
5,Widespread low provision (less deprived),Medium,main,01H,NHS NORTH CUMBRIA,4.249,0.24,22.579,1,0.0623
5,Widespread low provision (less deprived),Medium,main,A3A8R,NHS NORTH EAST LONDON,4.09,0.269,26.334,0,0.027
5,Widespread low provision (less deprived),Medium,main,04Y,NHS CANNOCK CHASE,3.766,0.361,18.733,0,0.0317
5,Widespread low provision (less deprived),Medium,main,36L,NHS SOUTH WEST LONDON,3.705,0.327,15.604,0,0.0143
5,Widespread low provision (less deprived),Medium,main,72Q,NHS SOUTH EAST LONDON,3.437,0.304,20.606,0,0.0024
5,Widespread low provision (less deprived),Medium,main,05D,NHS EAST STAFFORDSHIRE,3.228,0.282,18.261,0,-0.0207
5,Widespread low provision (less deprived),Medium,main,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",3.054,0.261,17.706,0,0.0048
5,Widespread low provision (less deprived),Medium,main,06L,NHS IPSWICH AND EAST SUFFOLK,3.012,0.225,18.318,0,-0.0025
5,Widespread low provision (less deprived),Medium,main,05G,NHS NORTH STAFFORDSHIRE,2.947,0.321,17.44,0,-0.0147
5,Widespread low provision (less deprived),Medium,main,99E,NHS BASILDON AND BRENTWOOD,2.644,0.243,19.211,0,0.0027
5,Widespread low provision (less deprived),Medium,main,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2.297,0.229,15.327,0,-0.0095
5,Widespread low provision (less deprived),Medium,main,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",1.96,0.29,15.484,0,-0.3024
5,Widespread low provision (less deprived),Medium,main,06T,NHS NORTH EAST ESSEX,1.557,0.319,23.788,0,-0.0053
5,Widespread low provision (less deprived),Medium,main,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,0.727,0.272,16.614,0,-0.0103
5,Widespread low provision (less deprived),Medium,main,02T,NHS CALDERDALE,0.717,0.289,27.582,0,-0.377
5,Widespread low provision (less deprived),Medium,main,11X,NHS SOMERSET,0.408,0.283,19.137,0,-0.0105
5,Widespread low provision (less deprived),Medium,main,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",0.366,0.262,19.537,0,-0.0638
5,Widespread low provision (less deprived),Medium,main,02G,NHS WEST LANCASHIRE,0.304,0.273,18.265,5,-0.0029
5,Widespread low provision (less deprived),Medium,main,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,0.299,0.289,11.211,0,-0.3774
5,Widespread low provision (less deprived),Medium,main,99G,NHS SOUTHEND,0.252,0.273,24.027,0,0.0004
5,Widespread low provision (less deprived),Medium,main,10R,NHS PORTSMOUTH,0.245,0.277,26.378,2,-0.2632
5,Widespread low provision (less deprived),Medium,main,01E,NHS GREATER PRESTON,0.182,0.325,23.538,36,0.0044
5,Widespread low provision (less deprived),Medium,main,06N,NHS HERTS VALLEYS,0.146,0.304,12.354,0,-0.0033
5,Widespread low provision (less deprived),Medium,main,11M,NHS GLOUCESTERSHIRE,0.13,0.271,15.146,0,-0.0023
5,Widespread low provision (less deprived),Medium,main,15F,NHS LEEDS,0.126,0.293,24.115,0,-0.3788
5,Widespread low provision (less deprived),Medium,main,15A,NHS BERKSHIRE WEST,0.108,0.317,11.862,2,-0.0014
5,Widespread low provision (less deprived),Medium,main,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,0.106,0.286,17.654,1,-0.0009
5,Widespread low provision (less deprived),Medium,main,06Q,NHS MID ESSEX,0.089,0.284,14.95,32,0.0003
5,Widespread low provision (less deprived),Medium,main,02M,NHS FYLDE AND WYRE,0.066,0.246,18.554,13,0.0002
5,Widespread low provision (less deprived),Medium,main,11N,NHS CORNWALL AND THE ISLES OF SCILLY,0.058,0.255,22.283,6,-0.0042
5,Widespread low provision (less deprived),Medium,main,26A,NHS NORFOLK AND WAVENEY,0.052,0.325,21.735,6,-0.0085
5,Widespread low provision (less deprived),Medium,main,01K,NHS MORECAMBE BAY,0.045,0.317,20.095,17,-0.001
5,Widespread low provision (less deprived),Medium,main,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",0.042,0.24,20.099,26,0.0002
5,Widespread low provision (less deprived),Medium,main,78H,NHS NORTHAMPTONSHIRE,0.025,0.257,17.483,19,-0.0042
5,Widespread low provision (less deprived),Medium,main,03R,NHS WAKEFIELD,0.007,0.307,27.247,28,-0.0037
5,Widespread low provision (less deprived),Medium,main,00X,NHS CHORLEY AND SOUTH RIBBLE,0.006,0.3,16.787,49,0.0006
6,Double provision outlier,Low,main,00Y,NHS OLDHAM,20.512,0.405,36.83,0,0.0793
6,Double provision outlier,Low,main,01Y,NHS TAMESIDE AND GLOSSOP,19.381,0.4,29.836,0,0.0715
7,Affluent retail-only,Low,main,92A,NHS SURREY HEARTLANDS,9.913,0.409,10.132,0,0.0161
7,Affluent retail-only,Low,main,07K,NHS WEST SUFFOLK,3.881,0.38,16.19,0,0.0241
7,Affluent retail-only,Low,main,04Y,NHS CANNOCK CHASE,3.766,0.361,18.733,0,0.0317
7,Affluent retail-only,Low,main,06K,NHS EAST AND NORTH HERTFORDSHIRE,0.548,0.394,13.863,0,-0.007
7,Affluent retail-only,Low,main,02A,NHS TRAFFORD,0.299,0.424,14.972,13,0.0055
7,Affluent retail-only,Low,main,99F,NHS CASTLE POINT AND ROCHFORD,0.294,0.415,14.576,10,0.0034
8,Deprived NHS-dependent,High,main,D2P2L,NHS BLACK COUNTRY,27.225,0.268,30.214,0,0.0534
8,Deprived NHS-dependent,High,main,02P,NHS BARNSLEY,23.47,0.258,30.057,0,0.0588
8,Deprived NHS-dependent,High,main,03K,NHS NORTH LINCOLNSHIRE,22.681,0.217,23.473,0,0.0122
8,Deprived NHS-dependent,High,main,02H,NHS WIGAN BOROUGH,22.311,0.234,25.206,0,-0.0087
8,Deprived NHS-dependent,High,main,03N,NHS SHEFFIELD,21.88,0.297,27.574,0,0.3646
8,Deprived NHS-dependent,High,main,14L,NHS MANCHESTER,20.706,0.237,38.677,0,0.0495
8,Deprived NHS-dependent,High,main,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",19.434,0.275,34.331,0,0.0977
8,Deprived NHS-dependent,High,main,02X,NHS DONCASTER,19.431,0.228,30.523,0,0.0578
8,Deprived NHS-dependent,High,main,03F,NHS HULL,19.299,0.211,37.206,0,0.0512
8,Deprived NHS-dependent,High,main,00N,NHS SOUTH TYNESIDE,19.184,0.25,31.061,0,0.0939
