org_id,org_name,prescribing_rate_mean,prescribing_rate_median,prescribing_rate_max,months_zero,imd_score_mean,income_score_mean,health_score_mean,education_score_mean,retail_accessibility_score,total_stores,quality_stores,regular_stores,budget_stores,n_lsoas,quadrant,imd_quintile,prescribing_rate_recent,imd_score_weighted,trend_slope,trend_pvalue,trend_r2,retail_accessibility_binary,ols_fitted,ols_residual,centroid_lat,centroid_lon,kmeans_cluster,bm_node,bm_label,lisa_presc_cluster,lisa_retail_cluster
03N,NHS SHEFFIELD,13.556795718174143,15.448501623412202,24.56911872433835,0,27.04844023323615,0.2735102040816327,0.4989737609329446,28.190338192419823,0.2974683544303797,158,7,33,118,343,"High prescribing
High retail",Q4,21.88011246854517,27.573756740723425,0.3646,0.0,0.8472,0.2531645569620253,9.6757776978756,12.20433477066957,53.38481287542486,-1.467149314553507,1,0,N0: Consistent prescribers,Not significant,Not significant
03Q,NHS VALE OF YORK,24.28606010309305,24.2623447768026,30.2520330437203,0,12.67008962264151,0.1357264150943396,-0.3799905660377359,14.478367924528303,0.25,112,6,16,90,212,"High prescribing
Low retail","Q1
(least
deprived)",26.0370614741284,12.407156844495333,0.0932,0.0,0.4067,0.1964285714285714,4.753220288301374,21.283841185827026,53.9629880618525,-1.0621348369183494,3,9,N9: Highest prescribers,High-High,Low-Low
03R,NHS WAKEFIELD,0.0875511576965953,0.0183070087244186,0.4458726524781146,28,27.34404651162791,0.2549162790697674,0.6394418604651162,32.50604186046512,0.3068181818181818,88,2,23,63,215,"Low prescribing
High retail",Q4,0.0070469979516889,27.24667109177596,-0.0037,0.0,0.3317,0.2840909090909091,9.671200641661503,-9.664153643709817,53.67588996114686,-1.425963378594119,4,2,N2: Deprived withdrawers,Not significant,Not significant
03W,NHS EAST LEICESTERSHIRE AND RUTLAND,17.345334893879986,22.10527286782192,28.11571847686572,0,11.404175,0.1374,-0.6256,12.327575,0.2886597938144329,97,5,18,74,200,"High prescribing
High retail","Q1
(least
deprived)",0.2993002387763136,11.21098728138091,-0.3774,0.0,0.4978,0.2371134020618556,4.780225004888359,-4.480924766112045,52.61552161435568,-1.0234838010379357,0,5,N5: Widespread low provision (less deprived),Not significant,Not significant
04C,NHS LEICESTER CITY,9.995894313148511,12.41086120273928,16.944130017295087,0,33.93239,0.340265,0.35097,37.730035,0.1830985915492957,71,0,13,58,200,"High prescribing
Low retail","Q5
(most
deprived)",0.8133868295755925,34.44856084511201,-0.1895,0.0,0.4327,0.1830985915492957,10.576423563896864,-9.763036734321274,52.63605745784519,-1.1251369609832635,2,3,N3: Extreme outlier,Not significant,Low-Low
04V,NHS WEST LEICESTERSHIRE,16.172037081077672,20.723039887197377,26.80873442399809,11,14.03031623931624,0.1564358974358974,-0.2802179487179487,16.664564102564103,0.1946902654867256,113,3,16,94,234,"High prescribing
Low retail","Q1
(least
deprived)",0.0246841128740159,13.86843411576356,-0.3651,0.0,0.5206,0.168141592920354,4.6410893176678645,-4.616405204793849,52.6921641010661,-1.306805279175551,6,10,N10: Structural double disadvantage,Not significant,Low-Low
04Y,NHS CANNOCK CHASE,3.1331256388791755,3.2407959493597995,5.152460036659705,0,19.026404761904764,0.2103809523809524,0.2512023809523809,26.136011904761908,0.3611111111111111,36,1,11,24,84,"Low prescribing
High retail",Q2,3.7657950033818817,18.73264741802446,0.0317,0.0,0.4188,0.3333333333333333,7.700453244503799,-3.934658241121917,52.70189193518331,-1.9962996860441564,11,5,N5: Widespread low provision (less deprived),Not significant,Not significant
05D,NHS EAST STAFFORDSHIRE,3.2040299353066106,3.2918325446898,6.150881941554144,0,18.07702564102564,0.198,0.0321666666666666,22.797320512820512,0.282051282051282,39,2,7,30,78,"Low prescribing
High retail",Q2,3.227995188495776,18.260555922473696,-0.0207,0.0015,0.159,0.2307692307692307,6.787497844574601,-3.5595026560788248,52.82538028666361,-1.7214165591200734,0,4,N4: Widespread low provision (deprived),Not significant,Not significant
05G,NHS NORTH STAFFORDSHIRE,3.6692270240832623,3.76797730279572,5.18878556341262,0,17.51707462686567,0.174455223880597,0.0984776119402985,19.56951492537313,0.3214285714285714,56,2,14,40,134,"Low prescribing
High retail",Q2,2.9470893583710094,17.44042282118373,-0.0147,0.0086,0.1114,0.2857142857142857,6.932052157991838,-3.984962799620829,53.04299066296494,-2.159502187985015,0,5,N5: Widespread low provision (less deprived),Not significant,Not significant
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2.729972265990979,2.704952114461165,4.04724106673435,0,15.7582,0.1818357142857143,-0.1482357142857142,20.42568571428572,0.2285714285714285,70,2,12,56,140,"Low prescribing
Low retail (double disadvantage)","Q1
(least
deprived)",2.2974378309408428,15.326885565798907,-0.0095,0.0326,0.0751,0.2,5.401536834969597,-3.104099004028754,52.630190855675394,-1.8901093660760144,6,4,N4: Widespread low provision (deprived),Not significant,Not significant
05V,NHS STAFFORD AND SURROUNDS,2.962512641740473,2.8293465155843736,5.757394877168779,0,14.188021505376344,0.154010752688172,-0.2223978494623656,13.961817204301076,0.1702127659574468,47,1,6,40,93,"Low prescribing
Low retail (double disadvantage)","Q1
(least
deprived)",2.951643756924712,13.874723178674842,0.0006,0.9161,0.0002,0.1489361702127659,4.403239894867308,-1.4515961379425963,52.81870957736516,-2.1376503404067195,6,10,N10: Structural double disadvantage,Not significant,Not significant
