org_id,org_name,prescribing_rate_mean,prescribing_rate_median,prescribing_rate_max,months_zero,imd_score_mean,income_score_mean,health_score_mean,education_score_mean,retail_accessibility_score,total_stores,quality_stores,regular_stores,budget_stores,n_lsoas
02Q,NHS BASSETLAW,21.189977675795078,21.290110229140183,27.69634041322831,0,23.06644927536232,0.22440579710144928,0.19201449275362317,30.85889855072464,0.3142857142857143,35,0,11,24,69
02T,NHS CALDERDALE,10.043494506746068,14.716787209727968,20.361901021244943,0,28.02786046511628,0.2652170542635659,0.37350387596899226,22.56303100775194,0.28888888888888886,45,1,11,33,129
02X,NHS DONCASTER,18.522292635901323,18.478078144042293,22.84279673042245,0,30.466663316582913,0.29278391959798994,0.5384924623115578,35.856532663316585,0.22826086956521738,92,1,19,72,199
02Y,NHS EAST RIDING OF YORKSHIRE,26.757420132742315,26.940542690869552,31.571945752186696,0,16.567487437185928,0.1692562814070352,-0.30302010050251255,19.310582914572866,0.23711340206185566,97,1,21,75,199
03F,NHS HULL,18.096621585512835,18.036281056023885,22.681396174437506,0,37.07084523809524,0.361922619047619,0.7791071428571428,39.63009523809524,0.2111111111111111,90,1,17,72,168
03H,NHS NORTH EAST LINCOLNSHIRE,14.519400420152987,14.736028643967751,19.0019748811008,0,30.622457943925234,0.3039719626168224,0.41197196261682245,34.36271962616823,0.21818181818181817,55,1,10,44,107
03K,NHS NORTH LINCOLNSHIRE,23.05410278996522,23.14068173655627,29.04170761134781,0,23.24866990291262,0.23048543689320392,0.21712621359223302,27.23849514563107,0.21666666666666667,60,1,11,48,103
03L,NHS ROTHERHAM,0.0455779198833826,0.0,0.6406005908881127,45,29.460582352941177,0.2910235294117647,0.7983235294117648,32.16815882352941,0.2236842105263158,76,1,15,60,170
03N,NHS SHEFFIELD,13.556795718174145,15.448501623412202,24.56911872433835,0,27.04844023323615,0.2735102040816327,0.4989737609329446,28.190338192419826,0.2974683544303797,158,7,33,118,343
03Q,NHS VALE OF YORK,24.286060103093046,24.262344776802596,30.2520330437203,0,12.67008962264151,0.13572641509433964,-0.3799905660377359,14.478367924528303,0.25,112,6,16,90,212
